ID (do not edit),Content type,Element type,Source language (GL),Target language (ES)
"{""contentId"":""4618c736-4260-49ef-98aa-c2ea70c44b07"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Cuadro de Curros Enriquez confeccionado artesanalmente con fíos a través do tacto,<p>Cuadro de Curros Enriquez confeccionado artesanalmente con hilos a través del tacto.</p>
"{""contentId"":""751fd44b-17b6-4525-8ed8-e2e35a444271"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<h1 class=""font_6"" style=""line-height: normal; text-align: center;""><span style=""letter-spacing:0.1em"">MI NOMBRE ES<br />
LORENA QUINTAS REJO</span></h1>","<h1 class=""font_6"" style=""line-height:normal; text-align:center""><span style=""letter-spacing:0.1em"">MI NOMBRE ES<br />LORENA QUINTAS REJO</span></h1>"
"{""contentId"":""948bb3a6-f991-41c7-8350-8a53ff303ad6"",""fieldId"":""compFeatures.wPhoto.data.uri"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,f38a28_59aab0f0eda648cd9acc8423c7ff9ede~mv2.jpg,f38a28_59aab0f0eda648cd9acc8423c7ff9ede~mv2.jpg
"{""contentId"":""948bb3a6-f991-41c7-8350-8a53ff303ad6"",""fieldId"":""compFeatures.wPhoto.data.title"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,LOGO-Xogo-fondo-blanco-FB.jpg,LOGO-Xogo-fondo-blanco-FB.jpg
"{""contentId"":""948bb3a6-f991-41c7-8350-8a53ff303ad6"",""fieldId"":""compFeatures.wPhoto.data.alt"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WPhoto,Logo xogo de fios,Después juego de fios
"{""contentId"":""25e9d813-f995-48c3-8444-25f34d01695a"",""fieldId"":""compFeatures.stylableButton.data.label"",""sequencePath"":[]}",TEXT,wixui.StylableButton,Gardar a configuración,Guardar la configuración
"{""contentId"":""542637d1-5cb3-48dc-9515-f9e2d7351f12"",""fieldId"":""menu"",""sequencePath"":[]}",TEXT,document.api.MenuService.Menu,"```xml
<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Inicio</label><items/></items><items><label>Tenda</label><items/></items><items><label>O teu gusto</label><items/></items><items><label>Acerca de</label><items/></items><items><label>Acerca de</label><items/></items><items><label>Contacto</label><items/></items><items><label>Páxina do producto</label><items/></items><items><label>Carro</label><items/></items><items><label>Páxina de agradecemento</label><items/></items><items><label>Fullscreen Page</label><items/></items><items><label>Checkout</label><items/></items><items><label>A miña conta</label><items/></items><items><label>As miñas pedidos</label><items/></items><items><label>As miñas direccións</label><items/></items><items><label>A miña carteira</label><items/></items><items><label>As miñas subscricións</label><items/></items><items><label>Blog</label><items/></items><items><label>Aviso Legal</label><items/></items><items><label>Política de Privacidade</label><items/></items><items><label>Política de Cookies</label><items/></items><items><label>Entrada</label><items/></items><items><label>Resultado da busca</label><items/></items><items><label>Perfil</label><items/></items><items><label>Opcións</label><items/></items><items><label>Notificacións</label><items/></items><items><label>Ítems (Item)</label><items/></items><items><label>Ítems (List)</label><items/></items><items><label>Tarxeta agasallo</label><items/></items></items></menu>
```",```xml<?xml version='1.1' encoding='UTF-8'?><menu><items><items><label>Inicio</label><items/></items><items><label>Tienda</label><items/></items><items><label>A tu gusto</label><items/></items><items><label>Acerca de</label><items/></items><items><label>Acerca de</label><items/></items><items><label>Contacto</label><items/></items><items><label>Página del producto</label><items/></items><items><label>Carro</label><items/></items><items><label>Página de agradecimiento</label><items/></items><items><label>Fullscreen Page</label><items/></items><items><label>Checkout</label><items/></items><items><label>Mi cuenta</label><items/></items><items><label>Mis pedidos</label><items/></items><items><label>Mis direcciones</label><items/></items><items><label>Mi cartera</label><items/></items><items><label>Mis suscripciones</label><items/></items><items><label>Blog</label><items/></items><items><label>Aviso Legal</label><items/></items><items><label>Política de Privacidad</label><items/></items><items><label>Política de Cookies</label><items/></items><items><label>Entrada</label><items/></items><items><label>Resultado de la búsqueda</label><items/></items><items><label>Perfil</label><items/></items><items><label>Opciones</label><items/></items><items><label>Notificaciones</label><items/></items><items><label>Ítems (Item)</label><items/></items><items><label>Ítems (List)</label><items/></items><items><label>Tarjeta regalo</label><items/></items></items></menu>```
"{""contentId"":""200a3621-fa5f-4863-b442-ab6181c8c89f"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Canastro ou horto sobre prato de madeira natural,Canastro ou horto sobre prato de madeira natural
"{""contentId"":""200a3621-fa5f-4863-b442-ab6181c8c89f"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Descubre a esencia rural de Galicia, na que combinamos arte e tradición, a través deste canastro ou hórreo deseñado e confeccionado artesanalmente por Xogo de Fíos. Trátase dun proceso de creación realmente singular, no que tan só intervén a habilidade<strong> manual e o tacto </strong>que posúe Lorena para dar maxia a cada deseño. Esta<strong> técnica artesanal</strong> de fiadobasease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos buscamos a esencia da nosa terra e, neste caso, os canastros son o símbolo máis representativo da arquitectura rural galega. O detalle e precisión en cada fiada outórgalle maior profundidade e realismo ao deseño. Asemade, a colocación na base de madeira natural, realza a beleza do fío e aporta calidez; feito que conecta esta obra artesanal coa tradición galega. Vive Galicia!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Materiais</span></strong><span><strong>:</strong> fío de finca (algodón 100%), cinta de dobre cara, prato de madeira natural, cola branca de madeira, verniz mate ecolóxico en aerosol e colgadoiro.</span></li>	<li><strong><span>Deseño</span></strong><span><strong>:</strong> canastro ou hórreo confeccionado con fío sobre prato de madeira natural.</span></li>	<li><strong><span>Dimensións</span></strong><span><strong>: </strong>28cm de diámetro e 2cm grosor.</span></li>	<li><span><strong>Bases</strong>: polo formato do deseño empregamos madeira, pero no caso que prefira outras bases (cadro ou tablilla) recoméndase contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base) para que se adapte perfectamente o teu estilo. Incluso se prefires que che deseñemos algunha outra paisaxe ou monumento da túa comarca, contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><span>Singularidade</span><span>: peza decorativa que combina arte e simbolismo cultural.</span></li>	<li><span>Distinción</span><span>: a beleza e elegancia desta obra é innegable, pero o verdadeiro valor engadido do produto radica na confección a través do tacto.</span></li>	<li><span>Proceso</span><span> manual: trátase dunha obra confeccionada totalmente a man, sen que medie ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><span>Sustentable</span><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Perfecto</span><span> para aportar beleza e serenidade o teu espazo ou como agasallo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 30€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Debido a ruptura do produto ou mala calidade do mesmo, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo de dita devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada peza como unha obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>","<p><span><span><span><span>Descubre la esencia rural de Galicia, en la que combinamos arte y tradición, a través de este canastro u hórreo diseñado y confeccionado artesanalmente por Xogo de Fíos. Se trata de un proceso de creación realmente singular, en el que tan solo interviene la habilidad<strong> manual y el tacto </strong>que posee Lorena para dar magia a cada diseño. Esta<strong> técnica artesanal</strong> de hilado se basa en la creatividad y la diferenciación del producto; siempre con énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>En Xogo de Fíos buscamos la esencia de nuestra tierra y, en este caso, los canastros son el símbolo más representativo de la arquitectura rural gallega. El detalle y precisión en cada hilada le otorgan mayor profundidad y realismo al diseño. Asimismo, la colocación en la base de madera natural, realza la belleza del hilo y aporta calidez; hecho que conecta esta obra artesanal con la tradición gallega. ¡Vive Galicia!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul> <li><strong><span>Materiales</span></strong><span><strong>:</strong> hilo de finca (algodón 100%), cinta de doble cara, plato de madera natural, cola blanca de madera, barniz mate ecológico en aerosol y colgador.</span></li> <li><strong><span>Diseño</span></strong><span><strong>:</strong> canastro u hórreo confeccionado con hilo sobre plato de madera natural.</span></li> <li><strong><span>Dimensiones</span></strong><span><strong>: </strong>28cm de diámetro y 2cm grosor.</span></li> <li><span><strong>Bases</strong>: por el formato del diseño empleamos madera, pero en caso de que prefiera otras bases (cuadro o tablilla) se recomienda contactar.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>TU GUSTO: en Xogo de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tienes opción de personalizar (diseño, color, tamaño, base) para que se adapte perfectamente a tu estilo. Incluso si prefieres que te diseñemos algún otro paisaje o monumento de tu comarca, ¡contáctanos para convertir tu idea en realidad!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul> <li><span>Singularidad</span><span>: pieza decorativa que combina arte y simbolismo cultural.</span></li> <li><span>Distinción</span><span>: la belleza y elegancia de esta obra es innegable, pero el verdadero valor añadido del producto radica en la confección a través del tacto.</span></li> <li><span>Proceso</span><span> manual: se trata de una obra confeccionada totalmente a mano, sin que medie ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li> <li><span>Referente</span><span> artístico: atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica y ofrecemos la opción de personalizar siempre que sea posible.</span></li> <li><span>Sostenible</span><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li> <li><span>Perfecto</span><span> para aportar belleza y serenidad a tu espacio o como regalo especial.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 30€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul> <li><span>Debido a rotura del producto o mala calidad del mismo, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Xogo de Fíos el costo de dicha devolución.</span></li> <li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores a la recepción del mismo, asumiendo el cliente dicho costo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>¡Valora cada pieza como una obra única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>"
"{""contentId"":""200a3621-fa5f-4863-b442-ab6181c8c89f"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Prato de Canastro 🧶 galego confeccionado artesanalmente con fíos sobre unha base de madeira barnizada,Plato de Canastro 🧶 gallego confeccionado artesanalmente con fíos sobre una base de madera barnizada
"{""contentId"":""42ef0b9d-4f50-444a-8523-f950f14e97c0"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Totebag Castelao,Totebag Castelao
"{""contentId"":""42ef0b9d-4f50-444a-8523-f950f14e97c0"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Descubre a fusión perfecta entre arte e funcionalidade coa nosa exclusiva totebag inspirada en Castelao, unha<strong> reprodución</strong> do cadro de <strong>fío</strong> deseñado e confeccionado por Xogo de Fíos. Esta bolsa de tela non só é un<strong> accesorio </strong>práctico no teu día a día, senón que tamén é un elemento de <strong>reivindicación </strong>da cultura galega. Como pobo galego, non podemos sentirnos máis orgullosos da obra de Castelao e da defensa galeguista que levou a cabo toda a súa vida. Así, convértese nunha fonte de inspiración que nos invita a ser valentes e defender os valores da nosa terra galega.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Esta vibrante<strong> impresión,</strong> dun dos deseños de maior<strong> éxito</strong> de Xogo de Fíos, amosa a <strong>singularidade</strong> e a <strong>diferenciación </strong>dos nosos produtos. Non só ofrecemos calidade e atención o detalle, senón que tamén pomos énfase nos valores transversais de igualdade, inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente. Sénteste identificada con Castelao? Pois ben... esta colección de bolsas non te deixará indiferente!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Material</span></strong><span>: bolsa de algodón de calidade, con tela resistente e duradeira.</span></li>	<li><strong><span>Dimensións</span></strong><span>: 40x35cm e asa de 30cm.</span></li>	<li><strong><span>Deseño</span></strong><span><strong>:</strong> impresión do retrato orixinal confeccionado en fío.</span></li>	<li><strong><span>Uso</span></strong><span><strong>: </strong>ideal para o día a día como bolso de man.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidade</span></strong><span>: accesorio único que combina arte, elegancia e funcionalidade.</span></li>	<li><strong><span>Distinción</span></strong><span><strong>:</strong> ideal para quen busca destacar o seu estilo persoal.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico: </strong>atendemos minuciosamente cada detalle do proceso, polo que, cada bolsa é un reflexo da arte téxtil que caracteriza a Xogo de Fíos.</span></li>	<li><strong><span>Sustentable</span></strong><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Perfecta como <strong>agasallo </strong>significativo para amantes da arte e a cultura.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 19€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Se o produto chega defectuoso, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo da devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Non deixes pasar a oportunidade e consegue esta fermosa totebag de Castelao.</span></span></span></span></p><p><span><span><span><span>Ten a seguridade que marcarás tendencia!</span></span></span></span></p><p>&nbsp;</p><p>&nbsp;</p>","<p><span><span><span><span>Descubre la fusión perfecta entre arte y funcionalidad con nuestra exclusiva totebag inspirada en Castelao, una<strong> reproducción</strong> del cuadro de <strong>fío</strong> diseñado y confeccionado por Xogo de Fíos. Esta bolsa de tela no solo es un<strong> accesorio </strong>práctico en tu día a día, sino que también es un elemento de <strong>reivindicación </strong>de la cultura gallega. Como pueblo gallego, no podemos sentirnos más orgullosos de la obra de Castelao y de la defensa galleguista que llevó a cabo toda su vida. Así, se convierte en una fuente de inspiración que nos invita a ser valientes y defender los valores de nuestra tierra gallega.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Esta vibrante<strong> impresión,</strong> de uno de los diseños de mayor<strong> éxito</strong> de Xogo de Fíos, muestra la <strong>singularidad</strong> y la <strong>diferenciación </strong>de nuestros productos. No solo ofrecemos calidad y atención al detalle, sino que también ponemos énfasis en los valores transversales de igualdad, inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente. ¿Te sientes identificada con Castelao? Pues bien... ¡esta colección de bolsas no te dejará indiferente!</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><strong><span>Material</span></strong><span>: bolsa de algodón de calidad, con tela resistente y duradera.</span></li>	<li><strong><span>Dimensiones</span></strong><span>: 40x35cm y asa de 30cm.</span></li>	<li><strong><span>Diseño</span></strong><span><strong>:</strong> impresión del retrato original confeccionado en fío.</span></li>	<li><strong><span>Uso</span></strong><span><strong>: </strong>ideal para el día a día como bolso de mano.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidad</span></strong><span>: accesorio único que combina arte, elegancia y funcionalidad.</span></li>	<li><strong><span>Distinción</span></strong><span><strong>:</strong> ideal para quienes buscan destacar su estilo personal.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico: </strong>atendemos minuciosamente cada detalle del proceso, por lo que, cada bolsa es un reflejo del arte textil que caracteriza a Xogo de Fíos.</span></li>	<li><strong><span>Sostenible</span></strong><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><span>Perfecta como <strong>regalo </strong>significativo para amantes del arte y la cultura.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 19€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN:</span></span></span></span></p><ul>	<li><span>Si el producto llega defectuoso, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Xogo de Fíos el costo de la devolución.</span></li>	<li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores a recepción del mismo, asumiendo el cliente dicho costo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>No dejes pasar la oportunidad y consigue esta hermosa totebag de Castelao.</span></span></span></span></p><p><span><span><span><span>¡Ten la seguridad de que marcarás tendencia!</span></span></span></span></p><p>&nbsp;</p><p>&nbsp;</p>"
"{""contentId"":""42ef0b9d-4f50-444a-8523-f950f14e97c0"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Bolsa Castelao co retrato feito con fíos impreso na tela.,Bolsa Castelao con el retrato hecho con hilos impreso en la tela.
"{""contentId"":""ce8ccce7-2dff-41e1-9dd9-7a6ee76b27e7"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_7"" style=""font-size:30px; text-align:center""><span style=""font-size:30px""><span style=""font-family:snellroundhandw01-scrip,cursive""><span class=""color_15""><span style=""font-weight:bold"">Impartimos charlas de sensibilizaci&oacute;n coa discapacidade en centros escolares e de formaci&oacute;n, asociaci&oacute;ns, concellos e outras entidades</span></span></span></span></p>","<p class=""font_7"" style=""font-size:30px; text-align:center""><span style=""font-size:30px""><span style=""font-family:snellroundhandw01-scrip,cursive""><span class=""color_15""><span style=""font-weight:bold"">Impartimos charlas de sensibilizaci&oacute;n sobre la discapacidad en colegios y centros de formaci&oacute;n, asociaciones, ayuntamientos y otras entidades.</span></span></span></span></p>"
"{""contentId"":""5ff012ff-46cb-4e39-b5d0-7b58764cb8fb"",""fieldId"":""compFeatures.wRichText.data.styledText.text"",""sequencePath"":[]}",TEXT,wysiwyg.viewer.components.WRichText,"<p class=""font_9"" style=""font-size:12px""><span style=""font-size:12px"">Consentimento para as cookies utilizadas con fins publicitarios. Isto incl&uacute;e scripts e p&iacute;xeles de terceiros que poden colocar cookies publicitarias no dispositivo (como a vista da p&aacute;xina de Twitter e o p&iacute;xel de Facebook).</span></p>","<p class=""font_9"" style=""font-size:12px""><span style=""font-size:12px"">Consentimiento para cookies utilizadas con fines publicitarios. Esto incluye scripts y p&iacute;xeles de terceros que pueden colocar cookies publicitarias en el dispositivo (como la vista de la p&aacute;gina de Twitter y el p&iacute;xel de Facebook).</span></p>"
"{""contentId"":""e7c79009-c67f-4980-8107-ccc2cb84c538"",""fieldId"":""product.name"",""sequencePath"":[]}",TEXT,catalog-product,Tablilla zodiacal Saxitario,Tablilla zodiacal Sagitario 
"{""contentId"":""e7c79009-c67f-4980-8107-ccc2cb84c538"",""fieldId"":""product.description"",""sequencePath"":[]}",TEXT,catalog-product,"<p><span><span><span><span>Es fan da astroloxía? Mergúllate neste universo coa nosa exclusiva tablilla zodiacal de Saxitario, creada artesanalmente por Xogo de Fíos. Trátase dun proceso de <strong>confección </strong>realmente <strong>singular,</strong> no que tan só intervén a habilidade manual e o <strong>tacto</strong> que posúe Lorena para dar maxia a cada deseño. Esta técnica<strong> artesanal</strong> de <strong>fiado</strong> basease na creatividade e a diferenciación do produto; sempre con énfase nos valores transversais de igualdade e inclusión das persoas con discapacidade e a sustentabilidade co medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Trátase do noveno signo do zodíaco e supón un dos máis brillantes e positivos de todo o horóscopo. Nesta ocasión tapizamos con fío unha simboloxía que representa ás persoas aventureiras, emprendedoras, de mente aberta e sempre dispostas a asumir novas experiencias. Por iso, a través deste sinxelo deseño pretendemos capturar a esencia propia de Saxitario. Cada tablilla é unha obra única, deseñada para ofrecer unha experiencia táctil inigualable. A confección resultante é vibrante, converténdose nunha peza decorativa que non só aporta beleza, senón que tamén transmite enerxía e conecta co teu signo zodiacal. </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><span>Materiais</span><span>: fío de finca (algodón 100%), cinta de dobre cara, tablilla MDS de 6mm, verniz mate ecolóxico en aerosol e rafia.</span></li>	<li><span>Dimensións</span><span>: 15x15cm con opción de personalizar tamaño.</span></li>	<li><span>Cores</span><span>: as fixadas na foto do produto, con opción de personalizar.</span></li>	<li><span>Bases</span><span>: tablilla, aínda que para empregar outras bases recomendamos contactarnos.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>O TEU GUSTO: en Xogo de Fíos creemos na individualidade, na singularidade e na creatividade; por iso tes opción de personalizar (deseño, cor, tamaño, base) para que se adapte perfectamente o teu estilo. Contáctanos para converter a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidade</span></strong><span><strong>:</strong> é unha peza artesanal decorativa que aporta elegancia e beleza.</span></li>	<li><strong><span>Distinción</span></strong><span>: o verdadeiro valor engadido radica na confección a través do tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual: </strong>trátase dunha obra confeccionada totalmente a man, non media ningún tipo de maquinaria. O tacto é o instrumento de traballo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle do proceso, sendo conscientes da dedicación que implica esta técnica, e ofrecemos a opción de personalizar sempre que sexa posible.</span></li>	<li><strong><span>Sustentable</span></strong><span> co medio ambiente e de calidade en canto a materiais e servizos.</span></li>	<li><span>Ideal como<strong> agasallo</strong> para amizades ou familiares nados baixo o signo Saxitario.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PREZO: 12€ (IVA incluído) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN: </span></span></span></span></p><ul>	<li><span>Debido a ruptura do produto ou mala calidade do mesmo, aceptamos devolucións nos 14 días naturais posteriores á súa recepción, asumindo desde Xogo de Fíos o custo de dita devolución.</span></li>	<li><span>Se o cliente rexeita o produto por motivos persoais, aceptamos devolucións nos 14 días naturais posteriores a recepción do mesmo, asumindo o cliente dito custo. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada obra como unha peza única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>","<p><span><span><span><span>¿Es hacen de la astrología? Mergúllate en este universo con nuestra exclusiva tablilla zodiacal de Sagitario, creada artesanalmente por Juego de Fíos. Se trata de un proceso de <strong>confección </strong>realmente <strong>singular,</strong> en el que tan sólo interviene la habilidad manual y <strong>el tacto</strong> que posee Lorena para dar magia a cada diseño. Esta técnica<strong> artesanal</strong> de <strong>fiado se</strong> basa en la creatividad y diferenciación del producto; siempre con énfasis en los valores transversales de igualdad e inclusión de las personas con discapacidad y la sostenibilidad con el medio ambiente.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>Se trata del noveno signo del zodíaco y supone uno de los más brillantes y positivos de todo el horóscopo. En esta ocasión tapizamos con hilo una simbología que representa a las personas aventureras, emprendedoras, de mente abierta y siempre dispuestas a asumir nuevas experiencias. Por eso, a través de este sencillo diseño pretendemos capturar la esencia propia de Saitario. Cada tablilla es una obra única, diseñada para ofrecer una experiencia táctil inigualable. La confección resultante es vibrante, convirtiéndose en una pieza decorativa que no sólo aporta belleza, sino que también transmite energía y conecta con el tiempo zodiacal. </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>CARACTERÍSTICAS:</span></span></span></span></p><ul>	<li><span>Materiales</span><span>: hío de finca (algodón 100%), cinta de doble cara, tablilla MDS de 6mm, verniz mate ecológico en aerosol y rafia.</span></li>	<li><span>Dimensiones</span><span>: 15x15cm con opción de personalizar tamaño.</span></li>	<li><span>Colores</span><span>: las fijadas en la foto del producto, con opción de personalizar.</span></li>	<li><span>Bases</span><span>: tablilla, aunque para emplear otras bases recomendamos contactarnos.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>El TEU GUSTO: en Juego de Fíos creemos en la individualidad, en la singularidad y en la creatividad; por eso tes opción de personalizar (diseño, color, tamaño, base) para que se adapte perfectamente el tiempo estilo. Contáctanos para convertir a túa idea en realidade! </span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>BENEFICIOS:</span></span></span></span></p><ul>	<li><strong><span>Singularidad</span></strong><span><strong>:</strong> es una pieza artesanal decorativa que aporta elegancia y belleza.</span></li>	<li><strong><span>Distinción</span></strong><span>: el verdadero valor añadido radica en la confección a través del tacto.</span></li>	<li><strong><span>Proceso</span></strong><span><strong> manual: se </strong>trata de una obra confeccionada totalmente a mano, no media ningún tipo de maquinaria. El tacto es el instrumento de trabajo.</span></li>	<li><strong><span>Referente</span></strong><span><strong> artístico</strong>: atendemos minuciosamente cada detalle del proceso, siendo conscientes de la dedicación que implica esta técnica, y ofrecemos la opción de personalizar siempre que sea posible.</span></li>	<li><strong><span>Sostenible</span></strong><span> con el medio ambiente y de calidad en cuanto a materiales y servicios.</span></li>	<li><span>Ideal como<strong> agasallo</strong> para amistades o familiares nados bajo el signo Sagitario.</span></li></ul><p>&nbsp;</p><p><span><span><span><span>PRECIO: 12€ (IVA incluido) + gastos de envío a toda España.</span></span></span></span></p><p>&nbsp;</p><p><span><span><span><span>POLÍTICA DE DEVOLUCIÓN: </span></span></span></span></p><ul>	<li><span>Debido a ruptura del producto o mala calidad del mismo, aceptamos devoluciones en los 14 días naturales posteriores a su recepción, asumiendo desde Juego de Fíos el coste de dicha devolución.</span></li>	<li><span>Si el cliente rechaza el producto por motivos personales, aceptamos devoluciones en los 14 días naturales posteriores la recepción del mismo, asumiendo el cliente dicho coste. </span></li></ul><p>&nbsp;</p><p><span><span><span><span>Valora cada obra como una pieza única de arte inclusiva!</span></span></span></span></p><p>&nbsp;</p>"
"{""contentId"":""e7c79009-c67f-4980-8107-ccc2cb84c538"",""fieldId"":""product.seoInfo.description"",""sequencePath"":[]}",TEXT,catalog-product,Saxitario. Horoscopo confeccionado artesanalmente con fíos a través do tacto.,<p>Sagitario Horóscopo hecho a mano con hilos a través del tacto.</p>
